,Country,Land Area(Km2),Capital/Major City,Largest city,Calling Code,Official language,Latitude,Longitude
0,Afghanistan,652230.0,Kabul,Kabul,93.0,Pashto,33.93911,67.709953
1,Albania,28748.0,Tirana,Tirana,355.0,Albanian,41.153332,20.168331
2,Algeria,2381741.0,Algiers,Algiers,213.0,Arabic,28.033886,1.6596259999999998
3,Andorra,468.0,Andorra la Vella,Andorra la Vella,376.0,Catalan,42.506285,1.521801
4,Angola,1246700.0,Luanda,Luanda,244.0,Portuguese,-11.202691999999999,17.873887
5,Antigua and Barbuda,443.0,"St. John's, Saint John","St. John's, Saint John",1.0,English,17.060816,-61.796428000000006
6,Argentina,2780400.0,Buenos Aires,Buenos Aires,54.0,Spanish,-38.416097,-63.616671999999994
7,Armenia,29743.0,Yerevan,Yerevan,374.0,Armenian,40.069099,45.038189
8,Australia,7741220.0,Canberra,Sydney,61.0,None,-25.274398,133.775136
9,Austria,83871.0,Vienna,Vienna,43.0,German,47.516231,14.550072
10,Azerbaijan,86600.0,Baku,Baku,994.0,Azerbaijani language,40.143105,47.576927000000005
11,The Bahamas,13880.0,"Nassau, Bahamas","Nassau, Bahamas",1.0,English,25.03428,-77.39628
12,Bahrain,765.0,Manama,Riffa,973.0,Arabic,26.0667,50.5577
13,Bangladesh,148460.0,Dhaka,Dhaka,880.0,Bengali,23.684994,90.35633100000001
14,Barbados,430.0,Bridgetown,Bridgetown,1.0,English,13.193887,-59.543198
15,Belarus,207600.0,Minsk,Minsk,375.0,Russian,53.709807,27.953389
16,Belgium,30528.0,City of Brussels,Brussels,32.0,French,50.503887,4.469936
17,Belize,22966.0,Belmopan,Belize City,501.0,English,17.189877,-88.49765
18,Benin,112622.0,Porto-Novo,Cotonou,229.0,French,9.30769,2.315834
19,Bhutan,38394.0,Thimphu,Thimphu,975.0,Dzongkha,27.514162,90.433601
20,Bolivia,1098581.0,Sucre,Santa Cruz de la Sierra,591.0,Spanish,-16.290154,-63.588653
21,Bosnia and Herzegovina,51197.0,Sarajevo,Tuzla Canton,387.0,Bosnian,43.915886,17.679076000000002
22,Botswana,581730.0,Gaborone,Gaborone,267.0,English,-22.328474,24.684866
23,Brazil,8515770.0,Bras���,S����,55.0,Portuguese,-14.235004,-51.92528
24,Brunei,5765.0,Bandar Seri Begawan,,673.0,Malay,4.535277,114.72766899999999
25,Bulgaria,110879.0,Sofia,Sofia,359.0,Bulgarian,42.733883,25.48583
