,Country,Land Area(Km2),Capital/Major City,Largest city,Calling Code,Official language,Latitude,Longitude,Population_Density
33,Central African Republic,622984.0,Bangui,Bangui,236.0,French,6.611111,20.939444,7.61686495961373
34,Chad,1284000.0,N'Djamena,N'Djamena,235.0,French,15.454166,18.732207,12.419685358255451
35,Chile,756096.0,Santiago,Santiago,56.0,Spanish,-35.675147,-71.542969,25.065650393600812
36,China,9596960.0,Beijing,Shanghai,86.0,Standard Chinese,35.86166,104.195397,145.64143228689085
37,Colombia,1138910.0,Bogot�,Bogot�,57.0,Spanish,4.570868,-74.297333,44.19966722568069
38,Comoros,2235.0,"Moroni, Comoros","Moroni, Comoros",269.0,French,-11.6455,43.3333,380.7096196868009
39,Republic of the Congo,342000.0,Brazzaville,Brazzaville,242.0,French,-0.228021,15.827659,15.732479532163742
40,Costa Rica,51100.0,San Jos������,San Jos������,506.0,Spanish,9.748917,-83.753428,98.77810176125244
41,Croatia,56594.0,Zagreb,Zagreb,385.0,Croatian,45.1,15.2,71.87157649220765
42,Cuba,110860.0,Havana,Havana,53.0,Spanish,21.521757,-77.78116700000001,102.23239220638644
43,Cyprus,9251.0,Nicosia,Statos�������,357.0,Greek,35.126413,33.429859,129.5616690087558
44,Czech Republic,78867.0,Prague,Prague,420.0,Czech,49.817492,15.472962,135.28736987586697
45,Democratic Republic of the Congo,2344858.0,Kinshasa,Kinshasa,243.0,French,-4.038333000000001,21.758664000000003,37.01314407951356
46,Denmark,43094.0,Copenhagen,Copenhagen,45.0,Danish,56.26392,9.501785,135.02002598969693
47,Djibouti,23200.0,Djibouti City,Djibouti City,253.0,French,11.825138,42.590275,41.963793103448275
48,Dominica,751.0,Roseau,Roseau,1.0,English,15.414999,-61.370976,95.61651131824235
49,Dominican Republic,48670.0,Santo Domingo,Santo Domingo,1.0,Spanish,18.735693,-70.162651,220.6484076433121
50,Ecuador,283561.0,Quito,Quito,593.0,Spanish,-1.831239,-78.183406,61.26957515314165
51,Egypt,1001450.0,Cairo,Cairo,20.0,Modern Standard Arabic,26.820553000000004,30.802498,100.24272105447102
52,El Salvador,21041.0,San Salvador,San Salvador,503.0,Spanish,13.794185,-88.89653,306.7132265576731
53,Equatorial Guinea,28051.0,Malabo,Malabo,240.0,Spanish,1.6508009999999995,10.267895,48.34002352857296
